ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,擺放神聖果實,在生命石座上放置@item_587#@1#r(「神聖果實」代表了「昔日者」曾經最輝煌的基因改造技術。),在生命石座上放置@item_587#
1001002,擺放烈焰斷劍,在勇氣石座上放置@item_588#@1#r(「烈焰斷劍」代表了「昔日者」曾經與「黑龍」長久合作的象徵。),在勇氣石座上放置@item_588#
1001003,擺放石人之眼,在智慧石座上放置@item_589#@1#r(「石人之眼」代表了「昔日者」曾經引以為傲的人工智慧。),在智慧石座上放置@item_589#
1001004,決戰虛空幻影！,打敗虛空幻影！#r(已經無法回頭了，為了迷你宇宙！),打敗虛空幻影！
1001005,接觸虛空,獲得@item_11333##r(這是……新的開始？……),獲得@item_11333#
1002001,重返迷拉星,總算是安全抵達迷拉星了。#r但是突破星鏈封鎖的時候，整支隊伍都被打散了，不知道還有其他夥伴抵達迷拉星了嗎？,抵達迷拉星
1002002,我需要些石頭,採集@item_110#獲取@item_11627#@1#r(長按石塊採集，也可以打開控制面板，在加工界面加工@item_104#獲取@item_11627#),採集@item_110#獲取@item_11627#@1
1002003,更多的材料,採集樹枝獲取@item_11006#@1#r(長按樹枝採集，有些樹的樹枝長在比較高的地方，有什麼辦法能把自己墊高些呢),從樹上獲取@item_11006#@1
1002004,開始美好的生活~,用@item_11627#和@item_11006#加工@item_11002#@1#r(趁手的工具可以更快的採集資源),打開控制面板加工@item_11002#@1
1002005,伐木工,手持@item_11002#，採集樹幹！獲取@item_11323#@1#r(@item_11323#在往後的旅途中至關重要),砍樹收集@item_11323#@1
1002006,建築能手,用@item_11323#加工@item_206#@1#r(除了@item_206#，大多數的木質道具加工都需要用到@item_11323#，大可多收集一些),加工@item_206#@1
1002007,棲身之所,放置@item_206#@1#r(剛傳來的星站附近好像有一棟破房子，或許可以用@item_206#修復一下，就不愁住了),放置@item_206#@1
1002008,武裝自己,用@item_11323#和@item_11627#加工@item_12012#@1#r(野外求生總是危機四伏，一把趁手的武器必不可少！),加工@item_12012#@1
1002009,動手！,打敗任意生物@1#r(最好的防禦就是進攻？試試剛做好的武器手感如何),打敗任意生物@1
1002010,黑暗中的光明！,用@item_11006#和@item_11226#加工@item_298#@1#r(注意！小火炬的燃燒時間有限，熄滅了需要重新點燃，但充當臨時的照明工具絕對沒問題),加工@item_298#@1
1002011,篝火晚會,用@item_298#點燃@item_1200#@1#r(星站附近的破房子里或許有現成的@item_1200#，也可以自己加工一個。),點燃@item_1200#@1
1002012,工匠,用@item_11323#和@item_11627#加工@item_800#@1#r(工匠台，旅行居家必備！哇哦~能加工更多的物品),加工@item_800#@1
1002013,求生必備,用@item_12600#和@item_11226#加工@item_828#@1#r(加工時需要使用@item_800#。加工好後，記得把@item_828#放在安全的地方，附近有威脅的話是沒法睡覺的！),加工@item_828#@1
1002014,好好休息一下,使用@item_828#睡一覺吧#r(點擊@item_828#可以躺上去，但是白天可睡不著，需要到晚上才行。迷拉星的夜晚從20：00開始，注意看時間噢),點擊放置好的@item_828#睡一覺
1003001,烤肉，香！,將@item_12513#放在篝火上烤熟，獲得@item_12514#@1#r(絕大多數動物掉落的肉都能進行烤制，在野外直接吃生肉也是非常危險的事，請烤熟了再吃！),使用@item_1200#烤制獲得@item_12514#@1
1003002,被烤肉征服,吃些@item_12514#恢復體力吧@1#r(吃完以後感覺渾身充滿力量！),食用@item_12514#@1
1003003,礦物克星,用@item_11627#和@item_11006#加工@item_11012#@1#r(有了@item_11012#才能更快的採集礦物，空手採礦也太痛苦了！),加工@item_11012#@1
1003004,新能源？,手持@item_11012#挖掘@item_402#獲取@item_11201#@1#r(@item_11201#是迷拉星上最常見的冶煉燃料，無論地上還是地下都挺常見，記得留意一下。),採集@item_402#@1
1003005,全新礦物！,手持@item_11012#挖掘@item_451#@1#r(@item_451#在迷拉星分布很廣，地上地下產量都很多),採集@item_451#@1
1003006,冶煉台加工者,用@item_11226#和@item_101#加工@item_802#@1#r(有了@item_802#就能冶煉金屬，該整點礦來升級一下工具了),加工@item_802#@1
1003007,金屬冶煉：黃銅,在@item_802#里用燃料燒制@item_451#提煉@item_11329#@1#r(@item_11329#是一種非常基礎的金屬，用途很廣，可以先用來升級一下工具，提高效率),冶煉獲得@item_11329#@1
1003008,更加趁手的工具,用@item_11329#和@item_11006#加工@item_11011#@1#r(加工時需要使用@item_800#。有了@item_11011#，挖礦速度可不能同日而語了！),加工@item_11011#@1
1003009,野外求生第一課,完成「新晉探索者」目標中的所有任務。#r(已經學會了野外生存的最基礎手段，是舉一反三的時候了。虛空幻影的詭計還沒破滅，再加把勁吧！),完成新晉探險者目標中的所有任務
1004001,農耕伊始,用@item_11627#和@item_11006#加工@item_11032#@1#r(有了它就能開墾耕地了),加工@item_11032#@1
1004002,開墾耕地,手持@item_11032#對@item_100#或@item_101#使用，使其變為耕地@1#r(PC端對準方塊長按右鍵，移動端長按方塊即可開墾耕地),手持@item_11032#開墾耕地@1
1004003,糧食大王,將@item_11400#播種在耕地上@1#r(手持@item_11400#點擊耕地就能種上了),播種@item_11400#@1
1004004,施肥,對作物使用@item_11311#@1#r(@item_11311#能夠加快絕大多數的植物生長，但不是每一次施肥都能成功……),對作物使用@item_11311#@1
1004005,大豐收！,收穫成熟的@item_229#@1#r(第一次豐收總是讓人畢生難忘),收穫@item_229#@1
1004006,掌廚的第一步,用@item_104#加工@item_200108#@1#r(加工時需要使用@item_800#。篝火可以使用@item_298#點燃，還記得嗎？將@item_200108#放置於點燃的@item_1200#上就能製作更多美食了),加工@item_200108#@1
1004007,準備原料,用@item_229#加工@item_344#@1#r(加工時需要使用@item_800#。@item_344#是許多菜品的基礎原料),加工@item_344#@1
1004008,美味出鍋,烹飪出@item_12502#@1#r(在@item_200108#中使用@item_344#吧，然後等待美味出鍋),在@item_200108#里烹飪@item_12502#@1
1004009,大快朵頤,食用@item_12502#@1#r(只有吃飽，才有力氣乾活！),食用@item_12502#@1
1004010,背包裝不下啦！,用@item_11323#和@item_11006#加工@item_1180#@1#r(背包中放不下的物品可以存到儲物箱里),加工@item_1180#@1
1004011,抵御強敵,用@item_11323#和@item_11006#加工@item_812#並放置@1#r(房子裝上門後，既能方便進出，還可以防止怪物進到房子里。但要小心，@item_812#有可能會被野人破壞！),加工並放置@item_812#@1
1004012,防禦工事,用@item_11323#加工@item_821#並放置@1#r(拿著@item_821#點已經放好的@item_821#就能可以連起來了),加工並放置@item_821#@1
1004013,城防出入口,用@item_11323#、@item_11006#和@item_11227#加工@item_535#並放置@1#r(@item_535#可以和木樁連在一起，讓怪物無法隨意進入你的據點),加工並放置@item_535#@1
1004014,神秘石像,用@item_104#加工@item_596#並放置@1#r(奇怪的石像光是看著就有一種奇特的感覺，觸摸它或許會有什麼事情發生),加工並放置@item_596#@1
1004015,在此，重新開始,向@item_596#獻上星星@1#r(點擊@item_596#後，選擇「獻上一顆星星」，在野外遭遇不測時菈米能帶領你回到此處),向@item_596#獻上星星@1
1004016,野外求生第二課,完成「學無止境」目標中的所有任務。#r(學會了更多的求生知識，是時候更進一步了。),完成「學無止境」目標中的所有任務
1004017,自然光源,用@item_837#加工@item_905#或@item_907#@1#r（永久照明的自然光源，或許可以代替隨時會熄滅的火把）,加工@item_905#或@item_907#@1
1005001,堅韌的外皮,狩獵獲得@item_11307#@1#r(需要打敗牛或是狼才能獲得@item_11307#，得仔細找找著了),獲得@item_11307#@1
1005002,黃銅裝備！,加工並穿戴任意黃銅裝備，例如@item_12216#@1#r(換上黃銅裝備後就更抗揍了，哈哈！),加工並穿戴任意黃銅裝備@1
1005003,更鋒利的武器,使用@item_11329#和@item_11323#加工@item_12004#@1#r(有了@item_12004#戰鬥能力直線上升),加工@item_12004#@1
1005004,抓小偷,打敗虛空使徒獲得@item_11911#@1#r(虛空幻影就是靠著這群使徒四處偷取創造之力，必須阻止他們！),打敗虛空使徒獲得@item_11911#@1
1005005,升級工匠台！,將@item_800#升級為@item_797#@1#r(手持@item_11911#點擊放置好的將@item_800#就能進行升級，@item_797#可以直接看到所有的加工配方),手持@item_11911#點擊@item_800#
1005006,煥然一新,進行一次工具或裝備維修@1#r(使用@item_797#或@item_800#都可以，點擊工匠台打開頁面後，選擇左側的「道具修理」，把需要修理的物品放進去吧。),進行一次工具或裝備維修@1
1005007,提高冶煉效率,用@item_11329#加工@item_799#@1#r(更換成更高級的冶煉台後，可以一次性冶煉多組礦物，效率翻倍),加工@item_799#@1
1005008,更可靠的礦物,採集@item_401#@1#r(@item_401#質地比@item_451#更為堅硬，礦物分布也更深，需要往地下多挖幾層才能找到，但也別挖的太深了),採集@item_401#@1
1005009,金屬冶煉：秘銀,冶煉獲得@item_11209#@1#r(有了@item_11209#後就能加工更耐用的工具和裝備了，還能加工更多的方塊，建議多儲備一些。),冶煉獲得@item_11209#@1
1005010,秘銀工具！,加工@item_11013#@1#r(@item_11013#的挖掘速度要遠快於@item_11011#，而且可以使用符文鑲嵌獲得更高效的能力),加工@item_11013#@1
1005011,自然凝練的力量,加工@item_785#@1#r(使用@item_785#就能給工具、武器或是裝備鑲嵌符文了，符文石有許多種，在地下探索一下吧。),加工@item_785#@1
1005012,激發符文力量,進行一次符文鑲嵌#r(點擊@item_785#打開頁面後，就能在左側的工具和符文石中自由挑選了。多嘗試幾次吧，符文鑲嵌不是每次都能成功。不過要注意秘銀以上強度的工具才能鑲嵌符文),使用@item_785#進行一次符文鑲嵌
1005013,更進一步！,完成“熟練探索者”目標中的所有任務。#r(你已經能夠獨當一面了，繼續強化自己，戰勝虛空幻影吧！),完成“熟練探索者”目標中的所有任務
1006001,往日碎片,在地下採集@item_598#獲得@item_11205#@1#r(@item_11331#是由@item_11205#構成的，有大量的@item_598#在很久以前就深埋於迷拉星地下),在地下採集@item_598#@1
