ID,Name,ChildName,Desc,Remarks
ID,Name,ChildName,Desc,Remarks
1010001,天氣改變時,世界,任意天氣發生改變時,天氣從晴天變為雨天，雨天變為晴天時
1010002,地形組的天氣改變時,世界,指定|@1|的天氣改變時,常見組：平原/森林/峭壁/叢林/盆地/空島/河流；海洋組：沙灘/深海/淺海/島嶼；沙漠組：沙漠/綠洲；普通寒帶：針葉林/冰原；高峯寒帶：冰山；火山組：火山；溼地組：雨林/沼澤；平坦、空島
1020001,遊戲創建時,遊戲邏輯,遊戲創建時觸發,進入遊戲倒計時3，2，1結束後，開始遊戲時
1020002,遊戲內時間,遊戲邏輯,遊戲內時間處於|@1|點,遊戲當前時刻處在指定時間點上時
1020003,遊戲運行時間,遊戲邏輯,遊戲運行時間|@1|秒後,進入遊戲後運行指定時間後
1020004,遊戲勝利,遊戲邏輯,任意玩家觸發勝利時,@Null@
1020005,遊戲失敗,遊戲邏輯,任意玩家觸發失敗時,@Null@
1020007,玩家進入遊戲,遊戲邏輯,任意玩家進入遊戲時,@Null@
1020008,玩家離開遊戲,遊戲邏輯,任意玩家離開遊戲時,@Null@
1020009,計時器變化,遊戲邏輯,任意計時器發生變化時,變量庫中任意計時器變量發生變化時
1020010,指定計時器變化,遊戲邏輯,@1|發生變化時,變量庫中指定計時器變量發生變化時
1020011,每當遊戲運行時間（循環）,遊戲邏輯,遊戲每運行|@1|秒,"1.最小取值為0.05秒，0.01-0.09都會取0.05
2.遊戲每運行指定時間後就會觸發（循環）"
1020012,地圖接受到信息時,遊戲邏輯,地圖接受到任意字符串信息時,@Null@
1030001,玩家被擊敗,玩家,任意玩家死亡,@Null@
1030002,復活,玩家,任意玩家復活,@Null@
1030003,屬性變化,玩家,任意玩家|@1|變化,當玩家某個屬性，如血量變化時
1030004,打敗目標,玩家,任意玩家打敗其他玩家或生物,當玩家打敗其他玩家、生物時。被打敗的玩家、生物為事件中的目標玩家、生物
1030005,攻擊,玩家,任意玩家開始攻擊,@Null@
1030006,攻擊命中,玩家,任意玩家攻擊命中任意玩家、生物,當玩家攻擊命中其他玩家、生物時。被命中的玩家、生物為事件中的目標玩家、生物
1030007,造成傷害,玩家,任意玩家對任意玩家、生物造成傷害,當玩家對其他玩家、生物造成傷害時。被傷害的玩家、生物為事件中的目標玩家、生物
1030008,受到傷害,玩家,任意玩家受到傷害,@Null@
1030009,移動,玩家,任意玩家移動一格,@Null@
1030010,使用動畫表情,玩家,任意玩家使用動畫表情,@Null@
1030011,使用道具,玩家,任意玩家使用道具,@Null@
1030012,獲得道具,玩家,任意玩家獲得道具,@Null@
1030013,消耗道具,玩家,任意玩家消耗道具,@Null@
1030014,點擊生物,玩家,任意玩家點擊生物,@Null@
1030015,點擊方塊,玩家,任意玩家點擊方塊,@Null@
1030016,騎乘,玩家,任意玩家騎乘任意坐騎、載具,@Null@
1030017,取消騎乘,玩家,任意玩家取消騎乘,@Null@
1030018,運動狀態改變,玩家,任意玩家進入|@1|狀態,@Null@
1030019,發生碰撞,玩家,任意玩家與其他玩家/生物發生碰撞,@Null@
1030020,拾取掉落物,玩家,任意玩家拾取任意掉落物,@Null@
1030021,進入區域,玩家,任意玩家進入|@1|,@Null@
1030022,離開區域,玩家,任意玩家離開|@1|,@Null@
1030023,裝備欄改變,玩家,任意玩家裝備欄發生改變,@Null@
1030024,背包道具欄改變,玩家,任意玩家背包道具欄發生改變,@Null@
1030025,快捷道具欄改變,玩家,任意玩家的快捷道具欄發生改變,@Null@
1030026,選擇快捷道具欄,玩家,任意玩家選擇任意序號的快捷欄,@Null@
1030027,丟棄道具,玩家,任意玩家丟棄道具,@Null@
1030028,穿上裝備,玩家,任意玩家穿上裝備,@Null@
1030029,脫下裝備,玩家,任意玩家脫下裝備,@Null@
1030030,聊天框顯示字符串,玩家,聊天框顯示|@1|,@Null@
1030031,輸入字符串,玩家,任意玩家從聊天框輸入|@1|,@Null@
1030032,按下按鍵,玩家,任意玩家按下|@1|,@Null@
1030033,長按按鍵,玩家,任意玩家長按|@1|,@Null@
1030034,鬆開按鍵,玩家,任意玩家鬆開|@1|,@Null@
1030035,獲得狀態效果,玩家,任意玩家獲得狀態效果,@Null@
1030036,失去狀態效果,玩家,任意玩家失去狀態效果,@Null@
1030037,失去指定狀態效果,玩家,任意玩家失去|@1|,@Null@
1030038,等級發生改變,玩家,任意玩家等級發生改變,@Null@
1030039,玩家輸入聊天信息（包含字符串）,玩家,任意玩家從聊天框輸入包含|@1|的信息,當玩家在聊天框中輸入包含指定文本並發出時
1040001,受到傷害,生物,任意生物受到傷害,@Null@
1040002,攻擊,生物,任意生物開始攻擊,@Null@
1040003,攻擊命中,生物,任意生物攻擊命中任意玩家、生物,@Null@
1040004,造成傷害,生物,任意生物對任意玩家、生物造成傷害,@Null@
1040005,生物被擊敗,生物,任意生物死亡,@Null@
1040006,打敗目標,生物,任意生物打敗玩家或其他生物,@Null@
1040007,進入區域,生物,任意生物進入|@1|,@Null@
1040008,離開區域,生物,任意生物離開|@1|,@Null@
1040009,生物行動狀態改變,生物,任意生物進入|@1|,@Null@
1040010,碰撞時,生物,任意生物碰撞玩家、其他生物時,@Null@
1040011,屬性變化,生物,任意生物|@1|變化,@Null@
1040012,被創建,生物,任意生物被創建,@Null@
1040013,獲得狀態效果,生物,任意生物獲得狀態效果,@Null@
1040014,失去狀態效果,生物,任意生物失去狀態效果,@Null@
1040015,失去指定狀態效果,生物,任意生物失去|@1|,@Null@
1040016,受到傷害時,生物,此類生物受到傷害時,@Null@
1040017,開始攻擊時,生物,此類生物開始攻擊時,@Null@
1040018,攻擊命中時,生物,此類生物攻擊並命中目標時,@Null@
1040019,造成傷害時,生物,此類生物對目標造成傷害時,@Null@
1040020,被擊敗時,生物,此類生物被擊敗時,@Null@
1040021,擊敗目標時,生物,此類生物擊敗目標時,@Null@
1040022,行動狀態改變時,生物,此類生物進入|@1|,@Null@
1040023,碰撞時,生物,此類生物碰撞玩家或其他生物時,@Null@
1040024,屬性改變時,生物,此類生物|@1|變化時,@Null@
1040025,被創建時,生物,此類生物被創建時,@Null@
1040026,獲得狀態時,生物,此類生物獲得任意狀態時,@Null@
1040027,失去狀態時,生物,此類生物失去任意狀態時,@Null@
1040028,被玩家點擊時,生物,此類生物被玩家點擊時,@Null@
1050001,被挖掘完畢時,方塊,任意方塊被挖掘時,@Null@
1050002,被破壞,方塊,任意方塊被破壞時,@Null@
1050003,方塊開關狀態,方塊,任意方塊充能狀態發生變化,@Null@
1050004,儲存容器道具發生改變,方塊,任意儲存容器內道具發生改變,@Null@
1050005,被創建,方塊,任意方塊被創建,@Null@
1050006,儲存容器道具被放入時,方塊,任意儲存容器內道具被放入時,@Null@
1050007,儲存容器道具被取出時,方塊,任意儲存容器內道具被取出時,@Null@
1050008,被挖掘時,方塊,任意方塊被挖掘時,@Null@
1050009,被挖掘中斷時,方塊,任意方塊被挖掘但中途取消時,@Null@
1050010,被挖掘時,方塊,此類方塊被挖掘時,@Null@
1050011,被挖掘完畢時,方塊,此類方塊被挖掘完畢時,@Null@
1050012,被挖掘中斷時,方塊,此類方塊被挖掘但中途取消時,@Null@
1050013,被破壞時,方塊,此類方塊被破壞時,@Null@
1050014,被創建時,方塊,此類方塊被創建時,@Null@
1050015,開關狀態變化時,方塊,此類方塊的開關狀態發生變化時,@Null@
