keyid,名字,属性描述
keyid,Name,AttrDesc
5001,擊飛,有10%概率擊飛+
5002,擊飛,有20%概率擊飛+
5003,擊飛,有30%概率擊飛+
6001,銳利,近戰攻擊+
6002,銳利,近戰攻擊+
6003,銳利,近戰攻擊+
7001,人類獵手,人類獵手+
7002,人類獵手,人類獵手+
7003,人類獵手,人類獵手+
8001,野獸獵手,野獸獵手+
8002,野獸獵手,野獸獵手+
8003,野獸獵手,野獸獵手+
9001,精英獵手,精英獵手+
9002,精英獵手,精英獵手+
9003,精英獵手,精英獵手+
10001,點燃,點燃等級
10002,點燃,點燃等級
10003,點燃,點燃等級
11001,擊退距離增加,擊退距離增加
11002,擊退距離增加,擊退距離增加
11003,擊退距離增加,擊退距離增加
12001,狩獵幸運,狩獵幸運等級
12002,狩獵幸運,狩獵幸運等級
12003,狩獵幸運,狩獵幸運等級
13001,強力射擊,弓箭傷害+
13002,強力射擊,弓箭傷害+
13003,強力射擊,弓箭傷害+
14001,無限射擊,無限射擊
14002,無限射擊,無限射擊
14003,無限射擊,無限射擊
15001,耐久,耐久度+
15002,耐久,耐久度+
15003,耐久,耐久度+
16001,近戰抗性,近戰抗性+
16002,近戰抗性,近戰抗性+
16003,近戰抗性,近戰抗性+
17001,遠程抗性,遠程抗性+
17002,遠程抗性,遠程抗性+
17003,遠程抗性,遠程抗性+
18001,爆炸抗性,爆炸抗性+
18002,爆炸抗性,爆炸抗性+
18003,爆炸抗性,爆炸抗性+
19001,燃燒抗性,燃燒抗性+
19002,燃燒抗性,燃燒抗性+
19003,燃燒抗性,燃燒抗性+
20001,毒素抗性,毒素抗性+
20002,毒素抗性,毒素抗性+
20003,毒素抗性,毒素抗性+
21001,混亂抗性,混亂抗性+
21002,混亂抗性,混亂抗性+
21003,混亂抗性,混亂抗性+
22001,反擊,有15%概率對近戰反擊+
22002,反擊,有30%概率對近戰反擊+
22003,反擊,有45%概率對近戰反擊+
23001,擊退距離減少,被擊退距離減少
23002,擊退距離減少,被擊退距離減少
23003,擊退距離減少,被擊退距離減少
24001,完整獲取,完整獲取
24002,完整獲取,完整獲取
24003,完整獲取,完整獲取
25001,挖掘速度,挖掘速度+
25002,挖掘速度,挖掘速度+
25003,挖掘速度,挖掘速度+
26001,挖掘幸運,挖掘幸運等級
26002,挖掘幸運,挖掘幸運等級
26003,挖掘幸運,挖掘幸運等級
27001,爆炸射擊,爆炸射擊+
27002,爆炸射擊,爆炸射擊+
27003,爆炸射擊,爆炸射擊+
28001,龍之緩落,掉落傷害-
28002,龍之緩落,掉落傷害-
28003,龍之緩落,掉落傷害-
29001,野人獵手,野人獵手+
29002,野人獵手,野人獵手+
29003,野人獵手,野人獵手+
30001,速降（護腿）,空中下蹲，下落速度+
30002,速降（護腿）,空中下蹲，下落速度+
30003,速降（護腿）,空中下蹲，下落速度+
31001,爬牆（鞋子）,可爬牆，但速度
31002,爬牆（鞋子）,可爬牆，但速度
31003,爬牆（鞋子）,可爬牆，但速度
32001,流血,流血等級
32002,流血,流血等級
32003,流血,流血等級
33001,閃電鞭,閃電鞭等級1
33002,閃電鞭,閃電鞭等級2
33003,閃電鞭,閃電鞭等級3
34003,閃電鞭,閃電鞭等級4
35003,閃電鞭,閃電鞭等級5
36001,釣魚幸運,釣魚幸運等級
36002,釣魚幸運,釣魚幸運等級
36003,釣魚幸運,釣魚幸運等級
37001,禦寒,禦寒+
37002,禦寒,禦寒+
37003,禦寒,禦寒+
38001,冰凍抗性,冰凍抗性+
38002,冰凍抗性,冰凍抗性+
38003,冰凍抗性,冰凍抗性+
39003,工具庇佑,工具庇佑
40003,武器庇佑,武器庇佑
41003,裝備庇佑,裝備庇佑
42001,冰傷,冰傷等級
42002,冰傷,冰傷等級
42003,冰傷,冰傷等級
43001,近戰物理傷害加成,近戰物理傷害+
43002,近戰物理傷害加成,近戰物理傷害+
43003,近戰物理傷害加成,近戰物理傷害+
44001,堅毅,傷害減免+
44002,堅毅,傷害減免+
44003,堅毅,傷害減免+
45001,遠程保護,遠程物理傷害-
45002,遠程保護,遠程物理傷害-
45003,遠程保護,遠程物理傷害-
46001,爆炸保護,爆炸傷害-
46002,爆炸保護,爆炸傷害-
