ID,名称,描述
ID,Name,Desc
100001,Khi bị tấn công,"Khi nhận sát thương, lưu kẻ tấn công vào %1"
100002,Khi bị ảnh hưởng bởi tương tác vật phẩm,"Khi tương tác với %1 của đối tượng khác, lưu đối tượng đó vào %2"
100003,Khi nhận được phát sóng,Khi nhận được phát sóng %1
100004,Khi nghe âm thanh xung quanh,"Khi nghe %3 trong phạm vi %2 xung quanh %1, lưu vị trí âm thanh vào %4"
200001,Đảo ngược,Giá trị trả về của các nút sau bị đảo ngược
200002,Chỉ thực hiện một lần,Các nút sau chỉ được thực hiện một lần
200003,Lặp lại,Thực hiện lặp lại %1 lần
200004,Luôn thành công,Trở về thành công
200005,Luôn thất bại,Trở về thất bại
300001,Thực hiện theo thứ tự,Thực hiện %1 theo thứ tự
300002,Thực hiện chọn lọc,Thực hiện chọn lọc %1
300003,Thực hiện đồng thời,Thực hiện đồng thời %1 %2
400201,Thời gian chơi game,%1%2%3
400203,Xác định vị trí trong khu vực,%1%2 nằm trong %3
400204,Khoảng cách giữa các địa điểm,%1%2%3
400205,Xác định thuộc tính đối tượng,%1%2%3
400206,Xác định mối quan hệ nhóm giữa các đối tượng,Mối quan hệ nhóm giữa %1 và %2 là %3
400207,Xác định đối tượng tồn tại hay không,%1 tồn tại
400208,Xác định loại đối tượng,Loại của %1 là %2%3
400209,Xác định loại vật phẩm mà đối tượng đang giữ,Loại vật phẩm mà %1 đang giữ là %2%3
400210,Nội bộ - Xác định có phải là Đêm Hư Không hay không,Bây giờ là đêm đặc biệt
400211,Xác định hiệu ứng trạng thái của đối tượng,%1%2 nằm trong %3
400301,Xác định thuộc tính người chơi,%1%2%3
400302,Xác định có người chơi gần đó hay không,Có %1
400311,Xác định thuộc tính người chơi,%1%2%3
400312,Xác định có người chơi gần đó hay không,Có %1
400401,Xác định thuộc tính sinh vật,%1%2%3
400402,Xác định có sinh vật gần đó hay không,Có %1
400411,Xác định thuộc tính sinh vật,%1%2%3
400412,Xác định có sinh vật gần đó hay không,Có %1
400421,Nội bộ - Xác định sinh vật có cầm khiên hay không,%1 đang cầm khiên
400422,Xác định sinh vật đang ở trạng thái được nhặt hay không,%1 đang ở trạng thái nhặt
400501,Xác định có khối được chỉ định gần đó hay không,Có khối ở trên %1
400502,Xác định loại khối gần vị trí,Loại khối của %1 là %2
400601,Xác định thuộc tính vật phẩm,%1%2%3
400602,Xác định có vật phẩm được chỉ định gần đó hay không,Có %1
400611,Xác định thuộc tính vật phẩm,%1%2%3
401001,So sánh chỉ số,%1%2%3
401002,So sánh boolean,%1%2%3
401003,So sánh chuỗi,%1%2%3
401004,So sánh vị trí,%1%2%3
401005,So sánh đối tượng,%1%2%3
401201,Xác định thời gian bộ đếm giờ,%1%2%3
500101,Thiết lập giá trị,Đặt %1 thành %2
500102,Thiết lập chuỗi,Đặt %1 thành %2
500103,Thiết lập giá trị boolean,Đặt %1 thành %2
500104,Thiết lập đối tượng,Đặt %1 thành %2
500105,Thiết lập địa điểm,Đặt %1 thành %2
500106,Thiết lập khu vực,Đặt %1 thành %2
500107,Thiết lập người chơi,Đặt %1 thành %2
500108,Thiết lập sinh vật,Đặt %1 thành %2
500201,Thay đổi thuộc tính đối tượng,Tạo %2%3%4 của %1
500202,Thời gian chờ,Đợi %1 giây trước khi thực hiện nút tiếp theo
500203,Gửi phát sóng,Gửi phát sóng %1
500204,Thiết lập hướng đối tượng,Đưa %1 di chuyển về phía %2 để giảm thời gian %3 giây
500205,Thiết lập nhóm mục tiêu,Thiết lập nhóm của %1 thành %2
500206,Thay đổi giao diện,Thay đổi giao diện của %1 thành %2
500207,Thay thế đối tượng,"Thay thế %1 bằng %2, %3 giữ lại phần trăm sức khỏe"
500208,Gắn đối tượng,Gắn %1
500209,Nội bộ - Phát hoạt ảnh,"Phát hoạt ảnh với ID %1, kéo dài %2 giây"
500301,Thay đổi thuộc tính người chơi,Làm cho thuộc tính %2%3%4 của người chơi %1
500311,Thay đổi thuộc tính người chơi,Làm cho thuộc tính %2%3%4 của %1
500401,Thay đổi thuộc tính sinh vật,Làm cho thuộc tính %2%3%4 của sinh vật %1
500411,Thay đổi thuộc tính sinh vật,Làm cho thuộc tính %2%3%4 của %1
500412,Thay đổi giao diện,Làm cho thuộc tính %2%3%4 của giao diện %1
500413,Thay thế sinh vật,"Thay thế %1 bằng %2, %3 vẫn giữ phần trăm HP"
500414,Sinh vật cưỡi,Cưỡi %1
500415,Tạo sinh vật,Tạo Sinh vật %2 tại %1
500416,Đánh bại sinh vật,Đánh bại %1
500417,Xóa sinh vật,Xóa %1
500418,Nhặt sinh vật,Nhặt %1
500419,Thả sinh vật đã nhặt xuống,Thả sinh vật đã nhặt xuống
500420,Đặt vật phẩm sinh vật rơi khi chết,"Khi thiết lập cái chết của đơn vị này, có %1% cơ hội rơi %2 %3"
500501,Đào khối,"Tiến gần %1 và đào, %2 khối rơi ra"
500502,Tương tác với khối,Tương tác với các khối của %1
500503,Phá hủy khối,"Phá hủy các khối tại vị trí %1, khối %2  rơi ra"
500504,Đặt khối,"Đặt %2 tại %1, hướng về phía %3"
500505,Thay thế khối,"Thay thế khối tại %1 bằng %2, hướng về phía %3"
500506,Phá hủy khối trong khu vực,"Phá hủy các khối trong %1 tại khoảng thời gian %2 giây, khối %3 rơi ra"
500602,Lưu trữ vật phẩm,Lưu trữ %1 %2 vào %3
500603,Lấy vật phẩm trong Ba lô và cầm trên tay,Lấy %1 ra khỏi Ba lô và cầm trên tay
500604,Tạo vật phẩm và đặt vào Ba lô,Tạo %1 và đặt vào Ba lô
500605,Nhặt vật phẩm gần đó và đặt vào Ba lô,Nhặt %2 trong phạm vi %1 ô gần đó và đặt vào Ba lô
500606,Tạo vật phẩm và cầm trên tay,Tạo %1 và cầm trên tay
501201,Chạy bộ đếm giờ,Bắt đầu %1
501202,Tạm dừng bộ đếm giờ,Tạm dừng %1
501203,Đặt lại bộ đếm giờ,Khôi phục %1
501204,Đặt lại bộ đếm giờ,Đặt lại %1
501401,Phát hiệu ứng đặc biệt tại vị trí được chỉ định,"Phát %2 tại %1, với kích thước là %3"
501402,Phát hiệu ứng đặc biệt trên đối tượng,"Phát %2 trên %1, với kích thước là %3"
501403,Xóa hiệu ứng đặc biệt tại vị trí được chỉ định,Xóa hiệu ứng đặc biệt %2 của %1
501404,Xóa hiệu ứng đặc biệt trên đối tượng,Xóa hiệu ứng đặc biệt %2 trên %1
501501,Phát âm thanh,"Phát %2 tại %1 với âm lượng %3, lặp lại %4 lần"
510201,Di chuyển đến vị trí được chỉ định,"Di chuyển đến %1 với tốc độ %2, %3 được phép thay đổi hướng"
510202,Di chuyển ngẫu nhiên,"Di chuyển ngẫu nhiên trong phạm vi %2 ô trung tâm tại %1 với tốc độ %3, %4 được phép thay đổi hướng"
510203,Di chuyển theo đối tượng,"Di chuyển theo %1 trong khi giữ khoảng cách %2 với tốc độ %3, %4 được phép thay đổi hướng"
510204,Di chuyển theo tuyến đường được chỉ định,"Di chuyển theo %1 với tốc độ %2, %3 đi lại"
510205,Di chuyển tránh xa vị trí,"Di chuyển tránh xa %1 với tốc độ %2, với thời gian tránh xa là %3 giây"
510206,Di chuyển ngẫu nhiên trong khu vực,"Di chuyển ngẫu nhiên trong %1 với tốc độ %2, và %3 được phép thay đổi hướng"
510207,Đặt chế độ di chuyển của đối tượng,Đặt chế độ di chuyển của %1 thành %2
510301,Tấn công cận chiến,Tấn công cận chiến %1 với khoảng thời gian tấn công là %2 giây và phạm vi tấn công là %3 ô
510302,Tấn công bằng đạn,"Tấn công tầm xa %1 với khoảng thời gian tấn công là %2 giây và phạm vi tấn công là %3 ô, ném %4"
510303,Bắn đạn bằng vũ khí,Tải %1 với %2 để tấn công %3 với khoảng thời gian tấn công là %4 giây và phạm vi tấn công là %5 ô
510304,Thực hiện tấn công nạp năng lượng bằng vũ khí,"Tải %1 với %2 để tấn công nạp năng lượng vào %3, với thời gian nạp năng lượng là %4 giây, khoảng thời gian tấn công là %5 giây và phạm vi tấn công là 6 ô"
510305,Nội bộ - Thực hiện các cuộc tấn công liên tiếp bằng vũ khí N lần,Thực hiện tấn công giai đoạn %2 bằng cách sử dụng %1 tấn công %3 với phạm vi tấn công là %4 ô
510306,Nội bộ - Thực hiện tấn công giai đoạn-N bằng vũ khí,"Thực hiện tấn công giai đoạn %2 bằng %1 tại %3 tấn công, phạm vi tấn công là %4 ô, thiết lập lại hoạt ảnh  %5  cuối cùng"
510307,Nội bộ - Thực hiện kỹ năng nổ vào mục tiêu,Nhắm vào %1 và thực hiện kỹ năng nổ
510308,Nội bộ - Cầm khiên,Cầm %1
510309,Nội bộ - Đặt khiên xuống,Đặt khiên xuống
510310,Đặt hiệu ứng trạng thái cho đối tượng,"Đặt cho %1 hiệu ứng %2, kéo dài vĩnh viễn %3, kéo dài %4 giây"
510311,Gỡ bỏ hiệu ứng trạng thái của đối tượng,Gỡ bỏ hiệu ứng %2 của %1
