ID,名字,描述
ID,Name,Desc
1,Chào hỏi,Vẫy tay chào hỏi
2,Nghi vấn,Đầu nhỏ nhiều thắc mắc
3,Khóc,Che mặt khóc hét
4,Tức giận,"Giận dữ, giậm chân tại chỗ"
5,Vươn vai,"Buồn ngủ, nằm ngủ nướng"
6,Vui,Tỏ ra rất vui
7,Cảm ơn,Cung kính cúi chào
8,Thư giãn,Nhìn xung quanh thư giãn
9,Ngã,Đột ngột ngã
10,Pose,Thực hiện động tác mê người
11,Động tác độc quyền,Động tác độc quyền Fluttershy
12,Động tác độc quyền,Động tác độc quyền công chúa Luna
13,Động tác độc quyền,Động tác độc quyền Pinkie Pie
14,Động tác độc quyền,Động tác độc quyền Starlight Glimmer
15,Động tác độc quyền,Động tác độc quyền Rainbow Dash
16,Động tác độc quyền,Động tác độc quyền công chúa Cadence
17,Động tác độc quyền,Động tác độc quyền Hoa Sương Mai
18,Động tác độc quyền,Động tác độc quyền Công Chúa Băng Giá
19,Động tác độc quyền,Động tác độc quyền Rory
20,Thử nghiệm tương tác 1,Động tác tương tác giữa Blossom và Lightning
21,Thử nghiệm tương tác 2,Động tác nâng nhau lên giữa Blossom và Blossom
22,Thử nghiệm tương tác 3,Động tác tương tác phổ biến Blossom
23,Oanh bay khắp trời - Không Hầu,Chơi đàn Không Hầu
24,Oanh bay khắp trời - Oanh Sơ,Bay múa quay cuồng
25,"Thể hiện Võ Hồn ","Hành động riêng của Đường Tam "
26,"Thể hiện Võ Hồn ","Hành động riêng của Đường Tam "
27,"Thể hiện Võ Hồn ","Hành động riêng của Đường Tam "
28,"Phóng Hồn Kỹ ",Hành động riêng của Oscar
29,"Thể hiện Võ Hồn ",Hành động riêng của Mã Hồng Tuấn
30,"Phóng Hồn Kỹ ",Hành động riêng của Đới Mộc Bạch
31,"Thể hiện Võ Hồn ",Hành động riêng của Chu Trúc Thanh
32,Hiển thị Võ Hồn,Động tác độc quyền của Ninh Vinh Vinh
33,Hiển thị Võ Hồn,Động tác độc quyền của Chu Trúc Thanh
34,Hiển thị Võ Hồn,Động tác độc quyền của Ninh Vinh Vinh
