ID,名称,文本,作者
Id,Title,Context,Author
1,Nghiện trà sữa,"Bồ có thể không có nhưng trà sữa nhất định phải có một ly.
Bao ăn thì có thể không đi, nhưng bao trà sữa thì không thể từ chối.",Chiến thần
2,Ngắm trăng nhớ gấu ^^,"Trung thu trăng sáng hơn gương, Anh ngồi chát chít nhớ thương em nhiều, Nhớ ra cái bánh hồi chiều, Còn đang ăn dở xơi liền tránh thiu",Chúa tể bất bại
3,Thơ chế trung thu,"Trung thu là tết thiếu nhi

Mà sao người lớn lại đi chơi nhiều

Chơi nhiều rồi lại làm liều

Làm liều rồi lại ra nhiều thiếu nhi.",Chuyên đi rừng
4,Cụ bộ đội đập bợm nhậu (toàn là dấu nặng),"Một chục chị bộ đội đội một chục hột vịt lộn bị một bọn lạ mặt chặn lại tại cột trụ điện. Chục chị bộ đội sợ chạy lại gọi một chục cụ bộ đội. Chục cụ bộ đội chạy lại định nện bọn lạ mặt một trận. Bọn lạ mặt sợ chạy, chục cụ bộ đội rượt kịp. Bọn lạ mặt bị đập bị nện một trận thật mạnh, một bị xệ ruột, một bị xệ thận, một bị xệ mọi bộ phận.

Một chuyện thật tội nghiệp, đọc thật mệt.",Con nhà người ta
5,Thơ toàn dấu sắc,"Chú Chức, chú Tuấn quí mến! Nhắc đến tết nhất tớ mới nhớ các chú Chức, chú Tuấn. Tớ nhớ nhất món các chú thích: Cá nướng, món rắn, mớ ốc đắng nấu chín, món ếch, món chó.. nhắm với đế, ít uống Nếp Mới thấy tiếc lắm. Các chú nhớ chấm với muối ớt, mắm ruốt với khế cắp chuối chát thấy thích cứ chấm tiếp. Tiếp mời tới uống nước nóng chống khát. Các chú chớ có hát xướng karaooké lớn tiếng lối xóm tức tối ấm ức khó nhắm mắt, thức suốt, chắc chắn chết chớ lối xóm có biết cái khoái cái sướng lúc quá chén. Thức trắng, tính toán, sáng sáng tấu sớ đến cấp lớn tố cáo các chú nhóc phá phách quá, uống tới bến, hát rất tốt, sức vóc tốt, khách quí mến.. tức.. tức.. tức.. khóc.. hứt.. hứt.. hứt..",Con trai cưng
6,Truyện ngắn toàn chữ H,"Hậu Hải Hà hơi hâm, hối hả hỏi Hồng Hiếu Hoa: Hoa, Hoa, Hoa! Hoa học Hóa hay học hình học?
Hồng Hiếu Hoa hậm hực: Hà hà! Học hình học, học hoài hổng hết. Hay Hồng Hiếu Hoa học hóa học hè? Học hóa học hơi hay hơn học hình học Hải Hà ha!",Công tử đào hoa
7,Bài thơ toàn chữ C,"Con cua có cẳng có càng

Con cò cắm cúi cắp càng con cua",Cười lên đi
8,"Thơ chế hay, share cho bà con",Bao nhiêu cân thính cho vừa. Bao nhiêu cân bả mới lừa được anh.,Tiểu Báo
9,Qua Đèo Ngang (chế),"Đăng nhập Facebook lag thấy bà.
Load ""sờ ta tút"" mãi chẳng ra.
Lom khom viết đại vài dòng text.
Lác đác câu Like góc tường nhà..
Block Nick đau lòng con quốc quốc
Report mỏi miệng***được tha.
Dừng chân xem lại bảng tin trước.
Một mảnh tình riêng share với Like.",Tiểu Hổ
10,Thơ hay ^^,"Sự đời cũng chỉ vậy thôi
Ngày mai ai biết sẽ rồi ra sao
Từ nay mặc kệ trời cao
Để tâm buông thả tan vào hư vô",Cu Lì
11,Khuyên bạn luôn là bạn,"Này bạn ơi sống thật tí đi
Ác thì ác hẳn cho tớ ghê
Tốt thì tốt luôn cho tớ nể
Chứ đừng có lúc này lúc khác
Như vậy biết đường đâu tớ né",Cu Bin
12,Thở than =.0,"Ngày ruồi, tháng muỗi, năm bọ chét. Đêm nằm sốt rét nhớ người yêu.",Cậu Ấm
13,Văn tả cô giáo - Hài kinh!,"Cô giáo em có làn da trắng mịn như da em bé. Cổ của cô dài 3 mét giống như con gà nhà em. Trán cô có nhiều nếp nhăn bởi vì cô thức khuya để soạn giáo án cho chúng em học. Đôi bàn tay sần sùi nhưng hơi lòng thòng vì cô viết bảng nhiều quá. Cô thường nói với chúng em là: ""tụi em là lũ ngu lâu dốt bền khó đào tạo"". Em rất yêu cô giáo em.",Sói
14,Thơ ông nghiện rượu,"Trăm năm Kiều vẫn là Kiều
Uống rượu say cũng là điều tất nhiên.
Say rồi cũng giống thằng điên
Thế nhưng ai cũng muốn điên dài dài.",Tiểu Hòa Thượng
15,Tầm bậy hà.,Tính em rất tồi nhưng tối em rất tình.,Tiểu Thái Giám
16,Ngắm trời than thở,"Ngày buồn như con chuồn chuồn, tháng chán như con cá rán, năm đen như con mèo hen.",Soái ca
17,Chân lý từ sách vở,Chúng ta thường tự an ủi mình bằng câu nói quen thuộc “mọi thứ rồi sẽ ổn thôi” nhưng trong lòng mỗi người thực sự cũng không biết rằng tới khi nào mới là thời điểm “sẽ ổn” đó. (Sức mạnh của ngôn từ).,Hai lúa
18,Tiên học lễ hậu học gì?,"Không mày đố thầy dạy ai
Tiên học lễ hậu học ...ăn
Học đi đôi với hành ,hành đi đôi với tỏi
Nói tiếng anh như gió, gặp từ khó ta... bắn sang tiếng Việt.",Anh da đen
19,Thích dẫn hay Mắt Biếc,"Tôi đủ lớn để hiểu rằng, mỗi năm thế giới mỗi đổi thay và lòng người cũng khác. Tuổi ấu thơ chỉ có một con đường để cùng nhau chung bước. Khi lớn lên trước mắt ta có lắm nẻo đường đời, bao nhiêu số phận là bấy nhiêu ngã rẽ, làm sao người chẳng quên người. (Trích dẫn từ ""Mắt Biếc"" của tác giả Nguyễn Nhật Ánh)",Rùa Con
20,"Thơ hay sưu tầm nè, làm quen nha","Đầu đường Xây dựng bơm xe
Cuối đường Kinh tế bán chè đỗ đen
Ngoại thương mời khách ăn kem
Cạnh anh Nhạc viện thổi kèn đám ma
Ngân hàng ngồi dập đô la
In giấy vàng mã, sống qua từng ngày
Sư phạm trước tính làm thầy
Giờ thay kế toán, hàng ngày tính lô.",Thần Rừng
21,Trốn lẹ!,"Anh ơi trái đất dẫu tròn, anh trốn không kỹ là còn gặp em.",Thần Rồng
22,Tình bạn,"Tình bạn là lá là hoa
Tình bạn là cả bài ca trên đời.",Gấu Bắc Cực
23,Thơ tình gửi em,"Em thương mến!
Hôm nay trời thật đẹp, mây đen kéo đến mây trắng bay đi. Anh ngồi co cẳng viết cho em yêu của mình bức thư tình hay nhất thế kỉ 22. Đầu thư, anh chúc em nhiều calo để em mạnh khoẻ. Em à! Chỉ mới gặp em thôi mà anh ngỡ như đã quen nhau từ kiếp trước. Xa em vài giây thôi mà ngỡ đã bao năm. Em ơi ,ánh mắt em làm cả miền Nam chìm trong băng giá. Em cất tiếng cười làm cả miền Bắc ngủ quên còn khi những giọt lệ em rơi làm 7 tỉnh miền Trung chìm trong lũ lụt... Ôi thôi! Quái vật!.... Em à, em đến với anh trong ngày đông băng giá. Em sưởi ấm con tim anh tựa lò vi sóng nướng con mực khô. Mỗi khi anh khát, em là vại bia hơi dịu đi cái khát khủng khiếp của mùa hè.... Ôi em tôi là vô địch...",Gấu Đi Bộ
24,Trung thu rước lồng đèn,"Trung thu là Tết thiếu nhi
Cớ sao người lớn lại đi chơi nhiều
Đi nhiều rồi lại làm liều
Làm liều rồi lại thêm nhiều thiếu nhi",Củ Đậu
25,Corona,Nếu bị corona thì tìm bác sĩ. Còn nếu codonqua (cô đơn quá) thì tìm đến anh.,Củ Tỏi
26,Tui là hot boy,Good boy nổi tiếng chung tình. Một trong số đó điển hình là anh.,Giáo sư X
27,Đợi được thả thính,Ở nhà thiệt chán quá trời. Có ai ngỏ ý nhận lời yêu luôn.,Công Tử
28,Gửi gấu từ ngáo,Trăm năm trong cõi thiên hà. Anh tuy hơi ngáo nhưng mà yêu em.,Điện hạ
29,Đôi bạn cùng tiến nha!,"Mày ơi thương lấy tao cùng
Tuy rằng khác lớp nhưng chung 1 đề
Mày cho tao chép tý đê
Kẻo mai tao rớt mặt mày bầm đen.",Lang băm
30,Văn tả gà trống,Nhà em có một con gà trống. Trông nó rất đẹp. Toàn thân nó phủ một màu vàng. Nó chẳng biết gáy cũng chẳng biết làm gì. Miệng nó thường ngậm một bông hoa hồng. Mẹ em thường đặt nó trên bàn thờ để thắp hương cúng cụ.,Mọt sách
31,Yêu với ương hớ hớ,"anh yêu em như que kem mút dở, như dưa bở với đường, như lọ tương ngâm cà pháo, như con báo với cánh rừng, như muối vừng với lạc, như lão Hạc với con chó vàng ...",Chuột nhắt
