ID,名称
ID,Name
1000,Thời Tiết
1001,Khu vực
1002,Vị trí
1003,Hướng
1004,Góc nhìn
1005,Trị số
1006,Thành phần tọa độ
1007,Đơn vị đo góc
1008,Cố định min đối số
1009,Phương pháp làm tròn
1010,Chuỗi ký tự
1011,Loại sát thương
1012,Đúng/ Sai
1013,Công Tắc
1014,Giá trị Boolean
1015,Max Min
1016,Phép toán so sánh
1017,Phép toán số học
1018,Người chơi
1019,Nhóm người chơi
1020,Thuộc tính người chơi
1021,Trạng thái chuyển động
1022,Cài đặt người chơi
1023,Đội
1024,Thuộc tính đội
1025,Loại khối vuông
1026,Cài đặt khối vuông
1027,Vật phẩm
1028,Loại vật phẩm
1029,Loại vật ném
1030,Vật rơi
1031,Sinh Vật
1032,Loại sinh vật
1033,Nhóm sinh vật
1034,Trạng thái hành động sinh vật
1035,Thuộc tính sinh vật
1036,Cài đặt sinh vật
1037,Trạng thái
1038,Kích hoạt
1039,Nhóm kích hoạt
1040,Bộ hẹn giờ
1041,Biểu cảm động
1042,Biến riêng
1043,Hàm Lượng Giác
1044,Vật ném
1045,Loại hiệu ứng
1046,Hiệu ứng âm thanh
1047,Phương hướng
1048,Đối tượng
1049,Âm sắc
1050,Kịch bản
1051,Phím
1052,Phím ô phím tắt
1053,Giá trị bất kỳ
1054,Ô Trang Bị
1055,Loại trang bị
1056,Màu
1057,Thông tin đồ họa
1058,Loại thông tin đồ họa
1059,Sản phẩm
1060,Loại ngoại hình
1061,Nhóm bất kỳ
1062,Nhóm vị trí
1063,Nhóm khu vực
1064,Nhóm trị số
1065,Nhóm chuỗi
1066,Nhóm Boolean
1067,Nhóm loại khối
1068,Nhóm loại vật phẩm
1069,Nhóm loại sinh vật
1070,Nhóm bộ hẹn giờ
1071,Nhóm loại hiệu ứng
1072,Sắp xếp
1073,Liên kết video
1074,Giao diện
1075,Thành phần
1076,Hình ảnh mẫu
1077,Chế độ di chuyển
1078,Đơn vị thời gian
1079,Trạng thái trang
1080,Âm nhạc
1081,Tạm dừng tiếp tục
1082,Cửa sổ hiển thị
1083,Đối tượng toàn cầu
1084,Bảng Xếp Hạng
1085,Bảng
1086,Chế độ phát
1087,Điều kiện
1088,Dừng logic
1089,Khối tạo hành động
1090,Tin nhắn
1091,Số nguyên
1092,Trạng thái thắng
1093,Trạng thái hiển thị
1094,Chế độ kiểm tra độ tương đồng
1095,Chế độ kiểm tra khối
1096,Chế độ kiểm tra tham số
1097,Đối tượng lập trình
1098,Đáp án khối
1099,Thuộc tính vật phẩm
1100,Phương thức rơi
1101,Trang chỉ định
1102,Chế độ phát động tác
1103,Kho vật phẩm
1104,Ô vật phẩm
1105,Ô vật phẩm Balo
1106,Loại đối tượng
1107,Bản thiết kế
1108,Góc nhìn
1109,Ảnh phản chiếu
1110,Quy tắc ghi đè
1111,BXH Lối Chơi
1112,Đường di chuyển chậm
1113,Độ Rộng Cao
1114,0
1115,Hiện hiệu ứng
1116,Ẩn hiệu ứng
1117,Hiệu ứng
1118,Chọn hiệu ứng văn bản
1119,Thành phần tọa độ 2D
1120,Tăng giảm
1121,Hiệu ứng thành phần
1122,Hiệu ứng văn bản
1123,Thành phần chuyển động mượt mà
1124,Thời gian hộp bầu trời
1125,Sticker hộp bầu trời
1126,Màu hộp bầu trời
1127,Tham số hộp bầu trời
1128,Tham số hạt môi trường
1129,Tham số bộ lọc
1130,Cài đặt camera
1131,Chế độ chuyển động
1132,Thuộc tính camera
1133,Hướng trục
1134,Bản mẫu hộp bầu trời
1135,Hiệu chỉnh màu
1136,Bản mẫu bộ lọc
1137,Nhóm địa hình
1138,Sản phẩm skin
1139,Công tắc hộp bầu trời
1140,Công tắc bộ lọc
1201,Nhóm đối tượng
1203,Quy tắc gián đoạn-Khi điều kiện thay đổi sẽ kích hoạt
1204,Quy tắc thành công song song
1205,Quy tắc thất bại song song
1206,Quan hệ đội ngũ
1207,Đội ngũ thực tế
1208,Đội ngũ
1209,Phương vị
1210,Đánh giá bản đồ
