ID,名字
ID,EnumName
100101,Tốc độ cơ bản
100102,Tốc độ chạy
100103,Tốc độ bơi
100104,Tốc độ lặn
100201,HP
100202,Độ đói
100203,Nhiệt độ
100301,Sát thương gần
100302,Sát thường tầm xa
100303,Sát thương nổ
100304,Sát thương cháy
100305,Sát thương độc hại
100306,Sát thương hỗn loạn
100307,Sát thương đối với Tinh Anh
100308,Sát thương đối với Dã Thú
100309,Sát thương đối với người chơi
100310,Sát thương đối với dã nhân
100311,Tất cả sát thương
100313,Sát thương đóng băng
100401,Sát thương cận chiến
100402,Sát thương viễn chiến
100403,Sát thương nổ
100404,Sát thương cháy
100405,Sát thương độc hại
100406,Sát thương hỗn loạn
100407,Sát thương đến từ Tinh Anh
100408,Sát thương đến từ Dã Thú
100409,Sát thương do người chơi
100410,Sát thương do dã nhân
100411,Sát thương do rơi
100412,Tất cả sát thương
100413,Sát thương đóng băng
100501,Phòng thủ cận chiến
100502,Phòng thủ viễn chiến
100503,Phòng thủ nổ
100504,Kháng Cháy
100505,Kháng Độc
100506,Kháng Hỗn Loạn
100507,Tất cả phòng thủ
100508,Kháng Đóng Băng
100601,Đào
100602,Săn bắn
100701,Thân
100702,Đầu
100801,Dưới nước
100802,Trong không trung
100901,Tấn công cận chiến
100902,Tấn công viễn chiến
100903,Tấn công nổ
100904,Tấn công cháy
100905,Tấn công độc hại
100906,Tấn công hỗn loạn
100907,Tất cả tấn công
100908,Tấn công đóng băng
101001,Sát thương cận chiến
101002,Sát thương viễn chiến
101003,Sát thương do nổ
101004,Sát thương do cháy
101005,Sát thương độc hại
101006,Sát thương hỗn loạn
101007,Sát thương thật
101008,Sát thương đóng băng
101101,Thể lực
101102,Tăng thể lực
101201,Tất cả các Hành động làm cạn kiệt thể lực
101202,Chạy
101203,Bơi
101204,Chạy nhảy
101205,Đào khối
101206,Sử dụng công cụ nạp
101301,Tất cả trạng thái phục hồi thể lực
101302,Nhàn rỗi
101303,Đi bộ
101304,Đánh lén
101401,Vận động mạnh
101402,Chạy
101403,Bơi
101404,Chạy nhảy
101405,Đào khối
101406,Sử dụng công cụ nạp
101501,Nhiệt độ thấp
101502,Nhiệt độ cao
101601,Tất cả
101602,Khối Nước
101603,Khối Cát Lún
101604,Khối Mật Ong
101605,Khối Dung Nham
101701,Tất cả
101702,Sống
101703,Nướng
101704,Nấu
101705,Thuốc
101801,Tất cả
101802,HP
101803,Thể lực
101804,Khiên
101805,Nghị lực
101806,Oxy
