ID,名字,描述,,
ID,Name,Desc,Order,IsHide
1,50 xu Mini,@Null@,,
2,250 xu Mini,@Null@,,
3,500 xu Mini,Tặng thêm 25 xu Mini,,
4,1000 xu Mini,Tặng thêm 100 xu Mini,,
5,2500 xu Mini,Tặng thêm 500 xu Mini,,
6,5000 xu Mini,Tặng thêm 1500 xu Mini,,
7,100 xu Mini,Tặng thêm 100 xu Mini (Giới hạn mua 1 lần),,
8,300 xu Mini,Tặng thêm 300 xu Mini (Giới hạn mua 1 lần),,
11,12 Xu Mini,Tặng thêm 1 Xu Mini,3,0
12,14 Xu Mini,,,
13,27 Xu Mini,,,
14,41 Xu Mini,,,
17,20 Xu Mini,,,
20,25 Xu Mini,,,
21,14400 Xu Mini,Tặng thêm 4600 Xu Mini,,
22,33 Xu Mini,Tặng thêm 33 Xu Mini (giới hạn 1 lần),,
23,150 Xu Mini,Tặng thêm 150 Tặng thêm (giới hạn 1 lần),,
