ID,名称
ID,Name
79000000,Khối Đất Mọc Cỏ
79000001,Đá Magna
79000002,Đá Magna
79000003,Đá Magna
79000004,Đá Magna
79000005,Đá Magna
79000006,Đá Magna
79000007,Đất Canh Tác
79000008,Đất Canh Tác
79000009,Khối Độc
79000010,Pha Lê Đen
79000011,Khối Cỏ Việt Quất
79000012,Khối Đất Việt Quất
79000013,Đá Magna Nóng
79000014,Khối Cỏ Horas
79000015,Cát Tinh Thể Lưu Huỳnh
79000016,Quặng Sắt
79000017,Đá Phép Thuật
79000018,Đá Phủ Rêu
79000019,Khối Tro
79000020,Đất Canh Tác Đỏ
79000021,Đất Canh Tác Đỏ
79000022,Đất Đỏ
79000023,Cát Đỏ
79000024,Đá Trầm Tích
79000025,Đá Trầm Tích
79000026,Đá Xói Mòn
79000027,Đá Xói Mòn
79000028,Khối Đất
79000029,Đá Nguyền Rủa
79000030,Đất Khô
79000031,Băng Cứng
79000032,Cát Nóng
79000033,Cát Nóng
79000034,Đất Đóng Băng
79000035,Khối Ngưng Tụ
79000036,Trái Brugo Lớn
79000037,Trái Lân Vũ Lớn
79000038,Khối Đất Mọc Cỏ
79000039,Sỏi
79000040,Băng Trôi
79000041,Băng trôi
79000042,Nhũ Băng Giòn
79000043,Nhũ Băng Cứng
79000044,Gỗ Gen Nhẵn
79000045,Gỗ Gen
79000056,Gỗ Thông
79000057,Nhánh Cây Bạch Dương To
79000058,Nhánh Cây Tùng To
79000059,Gỗ Dừa
79000060,Nhánh Cây Anh Đào To
79000061,Lõi Gỗ Rừng Mưa
79000062,Lõi Gỗ Rừng Mưa
79000063,Nhánh Đào To
79000064,Gỗ Phoebe
79000065,Gỗ Dương
79000066,Gỗ Dương
79000067,Cành Cây Gỗ Hồng Sam To
79000068,Thân Cây Thần
79000069,Nhánh Cây Óc Chó To
79000070,Gạch Bán Hiện Đại
79000071,Lá Cây Hổng Đột Biến
79000072,Thân Cây Đột Biến
79000073,Cát Vàng
79000074,Khối Dầu
79000075,Cát Vàng
79000076,Cát
79000077,Khối Tinh Năng
79000078,Khối Đá
79000079,Đá Lưu Huỳnh
79000080,Đá Flamas
79000081,Đá Tảng-Bê Tông
79000082,Đá Tảng-Đất Vụn
79000083,Đá Tảng Trắng
79000084,Đá Tảng-Băng Cứng
79000085,Gạch Đất
79000086,Sàn
79000087,Sàn Cam Lá Thu
79000088,Sàn Đỏ Hải Đường
79000089,Ván Đứng Mỏng Vàng Đồng
79000090,Ván Đứng Mỏng Gạch Xi Măng
79000091,Gạch Thô
79000092,Khối Caramel
79000093,Khối Thân Xe
79000094,Nửa Khối Gạch Kiểu Cổ
79000095,Nửa Khối Gạch Kiểu Cổ
79000096,Gạch Đơn Giản
79000097,Nửa Gạch Đơn Giản
79000098,Gạch Tường Đơn Giản
79000099,Gạch Tường Đơn Giản
79000100,Khối Thủy Tinh
79000101,Gạch Sứ
79000102,Gạch Sứ Ô Ngang
79000103,Gạch Sứ Ô Dọc
79000104,Gạch Sứ Ô Lưới
79000105,Gạch Sứ Bất Quy Tắc
79000106,Thủy Tinh Lục
79000107,Khối Thủy Tinh Cứng
79000108,Đống Cỏ
79000109,Mật Ong Khét
79000110,Khối Đồng Horas
79000111,Gạch Nước Đá
79000112,Khối Cảm Biến Hồng Ngoại
79000113,Ván Đứng Mỏng Khối Manga
79000114,Ván Đứng Mỏng Bạc Kín
79000115,Ván Đứng Mỏng Vàng Chanh
79000116,Ván Đứng Mỏng Tre Trúc
79000117,Ván Đứng Mỏng Trắng Ngà Voi
79000118,Ván Đứng Mỏng Cam Lá Thu
79000119,Ván Đứng Mỏng Xám Biếc Nhạt
79000120,Ván Đứng Mỏng
79000121,Ván Đứng Mỏng Xám Đá Biếc
79000122,Ván Gỗ Vôi Xám
79000123,Ván Đứng Mỏng Đỏ Son
79000124,Ván Đứng Mỏng Cam Hoàng Hôn
79000125,Ván Gỗ Dương
79000126,Ván Đứng Mỏng Đỏ Hải Đường
79000127,Ván Đứng Mỏng Đỏ Hạt Dẻ Đậm
79000128,Ván Gỗ Nổi
79000129,Khối Tro
79000130,Tường Gạch
79000131,Đá Ngầm
79000132,Ván Đứng Mỏng Đá
79000133,Thang Gạch Vàng
