ID,名称
ID,Name
11000000,Khối Lập Phương
11000001,Quả Cầu
11000002,Hình Trụ
11000003,Hình Nón
11000004,Hình Nêm
11000005,Bát
11000006,Sao
11000007,Hình Nửa Trụ
11000008,Bàn
11000009,Băng Ghế
11000010,Ván Gỗ
11000011,Bán Cầu
11000012,Phao Bơi
11000013,Bánh Tròn
11000014,Cây
11000015,Van
11000016,Ghế Dài
11000017,Khối Vuông
11000018,Hoa
11000019,Cây Bánh Mì
11000020,Hàng Rào
11000021,Dù
11000022,Gậy Dài
11000023,Búa
11000024,Bánh Vòng
11000025,Bánh Xốp
11000026,Cỏ Ba Lá
11000027,Ống Nước Đỏ
11000028,Táo Đỏ
11000029,Đĩa Quay Lam
11000030,Rào Cản
11000031,Lá
11000032,Nấm Vàng
11000033,Cầu Vồng
11000035,
11000036,
11000037,
11000038,
11000039,
11000040,
11000041,
11000042,
11000043,
11000044,
11000045,
11000046,
11000047,
11000048,
11000049,
11000050,
11000051,
11000052,
11000054,
11000055,
11000056,
11000057,
11000058,
11000059,
11000060,
11000061,
11000062,
11000063,
11000064,
11000065,
11000066,
11000067,
11000068,
11000069,
11000070,
11000071,
11000072,
11000073,
11000074,
11000075,
11000076,
11000077,
11000078,
11000079,
