ID,名称
ID,Name
11000005,Bát
11000006,Sao
11000007,Hình Nửa Trụ
11000008,Bàn
11000009,Băng Ghế
11000010,Ván Gỗ
11000011,Bán Cầu
11000012,Phao Bơi
11000013,Bánh Tròn
11000014,Cây
11000015,Van
11000016,Ghế Dài
11000017,Khối Vuông
11000018,Hoa
11000019,Cây Bánh Mì
11000020,Hàng Rào
11000021,Dù
11000022,Gậy Dài
11000023,Búa
11000024,Hoa Xoay
11000025,Búa Đung Đưa
11000026,Cây Bánh Mì Nảy
11000027,Vay Xoay
11000028,Đệm Khí
11000029,Hàng Rào Bơm Hơi
11000030,Sương Mù 1
11000031,Sương Mù 8
11000032,Sương Mù 23
11000033,Nổ 2
11000034,Nổ 15
11000035,Nổ 37
11000036,Ngọn Lửa 3
11000037,Ngọn Lửa 11
11000038,Ngọn Lửa 31
11000039,Môi Trường 2
11000040,Môi Trường 12
11000041,Môi Trường 8
11000042,Hiệu Ứng Ánh Sáng 52
11000043,Hiệu Ứng Ánh Sáng 9
11000044,Hiệu Ứng Ánh Sáng 7
11000045,Hạt 2
11000046,Hạt 6
11000047,Hạt 24
11000048,Nhắc Nhở 1
11000049,Nhắc Nhở 7
11000050,Nhắc Nhở 44
11000051,Hiệu Ứng Ánh Sáng 35
11000052,Hiệu Ứng Ánh Sáng 47
11000053,Hiệu Ứng Ánh Sáng 72
11000054,Hiệu Ứng Ánh Sáng 77
11000055,Hiệu Ứng Ánh Sáng 86
11000056,Sương Mù 2
11000057,Sương Mù 4
11000058,Sương Mù 5
11000059,Sương Mù 26
11000060,Sương Mù 30
11000061,Sương Mù 32
11000062,Sương Mù 42
11000063,Hạt 5
11000064,Hạt 12
11000065,Hạt 21
11000066,Hạt 25
11000067,Hạt 29
11000068,Hạt 31
11000069,Hạt 33
11000070,Hạt 35
11000071,Hạt 40
11000072,Hạt 43
11000073,Môi Trường 11
11000074,Môi Trường 16
11000075,Ngọn Lửa 4
11000076,Ngọn Lửa 15
11000077,Bánh Vòng
11000078,Bánh Xốp
11000079,Cỏ Ba Lá
11000080,Ống Nước Đỏ
11000081,Táo Đỏ
11000082,Đĩa Quay Lam
11000083,Rào Cản
11000084,Lá
11000085,Nấm Vàng
11000086,Cầu Vồng
11000088,Ký hiệu X
11000089,Phấn Tâm
11000090,Cầu Trượt
11000091,Xe Hàng
11000092,Xe Kéo
11000093,Xe Tải
11000094,Xe Con Lam
11000095,Xe Van
11000096,Mái Hiên
11000097,Bảng Hiệu Tiệm Pizza
11000098,Thang Cuốn
11000099,Móc Treo
11000100,Ống Thông Gió
11000101,Cổng Vòm
11000102,Hộp Quà
11000103,Ngựa Gỗ
11000104,Khinh Khí Cầu
11000105,Tivi
11000107,Mặt Trăng
11000108,Vòi Hoa Sen
11000109,Cái Thìa
11000110,Sách
11000111,Dao
11000112,Tua Vít
11000113,Bình
11000114,Kim Cương
11000115,Hình Tim
11000116,Bánh Răng
11000117,Mũi Tên Cong
11000118,Mũi Tên Thẳng
11000119,Trụ Tròn
11000120,Nón Cụt
11000121,Vòng Tròn
11000122,Cung Tròn
11000123,Hình Vòm
11000124,Vòng Vuông
11000125,Trụ Ba Góc
11000126,Lục Lăng Trụ
11000127,Phiến Hình Trụ
11000128,Trụ Tròn Lồi
11000129,Trụ Tròn Lõm
11000130,Chóp Tứ Giác
11000131,Chóp Lục Giác
11000132,Đường Trượt
16000000,Khối Lập Phương
16000001,Quả Cầu
16000002,Trụ Tròn
16000003,Hình Nón
16000004,Hình Nêm
