ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,OK,@Null@
2,Không,@Null@
3,7h,@Null@
4,9h,@Null@
5,12h,@Null@
6,18h,@Null@
7,24h,@Null@
8,Tùy chỉnh,Tùy chỉnh $Numđ
9,Mặc định,@Null@
10,Chỉ có trời trong,@Null@
11,Chỉ có mưa tuyết,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,X0.1 Trọng Lực,@Null@
19,X0.4 Trọng Lực,@Null@
20,X0.6 Trọng Lực,@Null@
21,X1 Trọng Lực (mặc định),@Null@
22,X5 Trọng Lực,@Null@
23,Tùy chỉnh 0.1-10,Tùy chỉnh $Num
24,Góc nhìn chính,@Null@
25,Góc nhìn phía sau,@Null@
26,Góc nhìn chính diện,@Null@
27,Khóa góc nhìn chính,@Null@
28,Khóa góc nhìn phía sau,@Null@
29,Khóa góc nhìn chính diện,@Null@
30,Chủ Phòng mở,@Null@
31,Đủ số lượng tự động mở,@Null@
32,Không,@Null@
33,Không giới hạn thời gian,@Null@
34,2p,@Null@
35,5p,@Null@
36,10p,@Null@
37,Tùy chỉnh (1-999đ),Tùy chỉnh $Nump
38,10đ,@Null@
39,50đ,@Null@
40,100đ,@Null@
41,Tùy chỉnh (1-999đ),Tùy chỉnh $Numđ
42,Hồi Sinh Ngay,@Null@
43,Còn 5s,@Null@
44,Tùy chỉnh (1-999s),Tùy chỉnh $Nums
45,5s,@Null@
46,10s,@Null@
47,Không giới hạn,@Null@
48,Không nhạc,@Null@
49,bgm1 (Thế Giới Tăng Tốc),@Null@
50,bgm2 (Cổ Quái),@Null@
51,bgm3 (Trung Hoa),@Null@
52,bgm4 (Chiến Đấu! ),@Null@
53,bgm5 (Thượng Đế FA),@Null@
54,bgm6 (Giải Mã),@Null@
55,bgm7 (Bomb! ),@Null@
56,bgm8,@Null@
57,Công Tự Do,@Null@
58,Chặn người chơi công,@Null@
59,Đội Công,@Null@
60,Nắng Mưa Thất Thường (mặc định),@Null@
61,Không cần chia điểm,@Null@
62,Mặc định nhấp thiết lập bản đồ,@Null@
63,Hồi sinh đến tiểu đội ngẫu nhiên,@Null@
64,Hồi sinh đến tiểu đội gần nhất,@Null@
65,Có thể thấy,@Null@
66,Không thể thấy,@Null@
67,Rơi bình thường,@Null@
68,Làm trống Túi,@Null@
69,Giữ vật phẩm,@Null@
70,Không giới hạn điều kiện tự động mở,@Null@
71,Mọi người đều thấy,@Null@
72,Chỉ Đội phe ta mới thấy,@Null@
73,Chỉ Đội phe địch mới thấy,@Null@
74,Tất cả không thể thấy,@Null@
75,Mặc định (dựa theo điểm),@Null@
76,Toàn đội thắng,@Null@
77,Toàn đội thua,@Null@
78,Khóa góc nhìn bên dưới,@Null@
79,Không hạn chế,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,Tùy chỉnh (1-99),Tùy chỉnh $Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,Tùy chỉnh (1-40),Tùy chỉnh $Num
88,Khóa tùy chỉnh góc nhìn,@Null@
89,0,@Null@
90,120,@Null@
91,Xem tự do,@Null@
92,Theo màn hình,@Null@
93,Có thể đổi,@Null@
94,Rơi rương,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
105,Góc nhìn trên cao,
106,Camera Tùy Chỉnh,
107,Thời tiết xấu,
108,Tuyết rơi,
109,Bão cát,
110,Bão,
111,Bão tuyết,
112,Bình rơi,
