签到类型/1七天 2每周 3国庆活动,天数/周几,越南语,越南语
SignInType,WhatDay,RewardName,RewardTips
1,1,Tinh Vũ Yên Hoa,Đã để vào Kho
1,2,Rương Bảo Hiểm,Đã để vào Kho
1,3,Hộp Sao,Đã để vào Kho
1,4,Pháo Hoa Sao Nhỏ,Đã để vào Kho
1,5,Tinh Vũ Yên Hoa,Đã để vào Kho
1,6,Hộp Sao,Đã để vào Kho
1,7,Quà Mini Lớn,Đã để vào Kho
2,1,Túi Trứng Phúc,Đã để vào Kho
2,2,Trang Phục Lễ,Đã để vào Kho
2,3,Hộp Sao,Đã để vào Kho
2,4,Trang Phục Lễ,Đã để vào Kho
2,5,Hộp Sao,Đã để vào Kho
2,6,Đậu Mini,Đã thêm vào tài khoản
2,7,Đậu Mini,Đã thêm vào tài khoản
3,1,Hộp Sao,Đã để vào Kho
3,2,Túi Đậu Mini,Đã để vào Kho
3,3,Quyển Dịch Chuyển,Đã để vào Kho
3,4,Túi Đậu Mini,Đã để vào Kho
3,5,Pháo Hoa Sao,Đã để vào Kho
3,6,Túi Đậu Mini,Đã để vào Kho
3,7,Áo Choàng Mini,Đã để vào Kho
3,8,Túi Đậu Mini,Đã để vào Kho
3,9,Túi Đậu Mini,Đã để vào Kho
3,10,Túi Đậu Mini,Đã để vào Kho
3,11,Túi Đậu Mini,Đã để vào Kho
3,12,Túi Đậu Mini,Đã để vào Kho
3,13,Túi Đậu Mini,Đã để vào Kho
3,14,Túi Đậu Mini,Đã để vào Kho
3,15,Túi Đậu Mini,Đã để vào Kho
3,16,Túi Đậu Mini,Đã để vào Kho
3,17,Túi Đậu Mini,Đã để vào Kho
3,18,Túi Đậu Mini,Đã để vào Kho
3,19,Túi Đậu Mini,Đã để vào Kho
3,20,Mũ Beret,Đã để vào Kho
