ID,任务名
ID,Name
1001,Chiến Thắng Hư Không!
1002,Cố Gắng Vì Ban Mai
1003,Người Khám Phá Mới
1004,Học Nữa Học Mãi
1005,Người Khám Phá Lão Làng
1006,Kỹ Sư Nối Sao
1007,Theo Vết Rừng Mưa
1008,Thí Luyện Vĩnh Hằng
1009,Chi Viện Vượt “Đá”
2001,Thợ Công Cụ
2002,Hộ Vệ Rừng Rậm
2003,Người Nói Lời Hoa
2004,Kẻ Giữ Ruộng Đồng
2005,Lời Nói Chăn Nuôi
2006,Bậc Thầy Huấn Luyện Thú
2007,Nhập Môn Nấu Bếp
2008,Đầu Bếp Cao Cấp
2009,Đầu Bếp Đặc Cấp
2010,Nghệ Thuật Gia
2011,Truyền Kỳ Thả Câu
2012,Chuyên Gia Dò Mỏ
3001,Thợ Vũ Khí
3002,Thợ Phòng Cụ
3003,Khát Vọng Lực Bùa
3004,Cuồng Chiến Vô Địch
3005,Thợ Săn Hoang Dã
4001,Đồng Hành Đáng Tin Cậy
4002,Dấu Vết Tôi Tồn Tại
4003,Người Du Hành Vùng Cát
4004,Ba Vạn Dặm Dưới Đáy Biển
4005,Du Lịch Cực Địa
4006,Mạch Điện Tinh Năng (Dự bị)
4007,Phương Tiện Máy Móc (Dự bị)
