ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Chuyển Vị Trí thành Khu Vực,Chung,"Set |@1| as center, areas with dimensions (|@2|, |@3|, |@4|)"
10002,Khu Vực Ước Lượng,Chung,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10003,Mở rộng Khu Vực,Chung,"Enlarge |@1| coordinate axis with X|@2|, Y|@3|, Z|@4| block wide"
10005,Vị trí cụ thể,Chung,The position of X|@1|Y|@2|Z|@3
10006,Thay đổi vị trí,Chung,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10007,Vị Trí Trung Tâm,Chung,Vị trí trung tâm của @1|
10008,Vị trí ngẫu nhiên của Khu Vực,Chung,@1|'s random location
10009,Thời gian hẹn giờ,Chung,@1|'s time
10010,Độ dài của tia theo hướng xác định,Chung,"Start with |@1|, project |@3| grids ray to |@2|, return ray length between start to block"
10011,Nối Chuỗi,Chung,@1|và|@2
10012,Chuyển đổi Giá Trị thành Chuỗi,Chung,Convert |@1| to String
10013,So Sánh Boolean,Chung,@1||@2||@3
10014,So Sánh Giá Trị,Chung,@1||@2||@3
10015,Loại khối bị va bởi tia,Chung,"Start with |@1|, project |@3| grids ray to |@2|, show block type that stop ray"
10016,Gặp tọa độ 3 trục,Chung,"@1| đối diện X|@2|, Y|@3|, Z|@4"
10017,Gặp tọa độ hình cầu,Chung,"@1| đối diện góc phương vị|@2|, độ cao|@3"
10018,Chọn người chơi,Chung,Chọn |@1
10019,Chọn sinh vật,Chung,Chọn |@1
10020,Chọn vật ném,Chung,Chọn |@1
10021,Chọn công cụ,Chung,Chọn |@1
10022,Tone chuyển thành số,Chung,@1| chuyển thành số
10023,So sánh chuỗi ký tự,Chung,@1||@2||@3
10024,Thay đổi vị trí ( Không thay đổi cột mốc ),Chung,@1| shift along coordinate axis（|@2|，|@3|，|@4|）
10025,Giá trị Boolean,Chung,|@1
10026,Giá trị,Chung,|@1
10027,Chuỗi ký tự,Chung,|@1
10028,Kiểu ngoại hình,Chung,|@1
10029,Nhóm Boolean,Chung,|@1
10030,Nhóm số,Chung,|@1
10031,Nhóm chuỗi,Chung,|@1
10032,Nhận số lượng giá trị của một nhóm,Chung,Nhận số lượng giá trị trong |@1
10033,Nhận số lượng giá trị của một giá trị trong một nhóm,Chung,Nhận giá trị là |@2| trong |@1
10034,Nhận ID của giá trị trong một nhóm,Chung,Nhận ID của |@2| trong |@1
10035,Xác định xem giá trị có tồn tại trong một nhóm hay không,Chung,@2| tồn tại trong |@1
10036,Xác định xem ID cụ thể có tồn tại trong một nhóm hay không,Chung,Kiểm tra xem ID |@2| vị trí trong |@ 1| hiện hữu
10037,Trích xuất chuỗi,Chung,Trích xuất |@1| trong |@2| - |@3|  vị trí chuỗi
10038,Chuyển chuỗi thành số nguyên,Chung,@1| chuyển đổi thành số nguyên
10039,Nhận cài đặt thời gian của thiết bị chính,Chung,Nhận thiết bị |@1| thời gian
10040,Nhận cài đặt thời gian thiết bị chính đầy đủ,Chung,Nhận cài đặt thời gian thiết bị chính đầy đủ
10041,Loại khối ngẫu nhiên,Chung,Loại khối ngẫu nhiên
10042,Tách chuỗi,Chung,"Tách |@1|, phân chia là |@2|, cắt đoạn |@3| sau khi phân chia"
10043,Lấy chuỗi của đánh dấu chỉ định,Chung,"Nhận nội dung của |@1|, tên key là |@2|"
10044,Nhận thời gian server game,Chung,Nhận thời gian |@1| của thời gian server game
10045,Chuyển đổi timestamp thành đơn vị thời gian,Chung,Chuyển đổi timestamp |@1| thành |@2
10046,Nhận thời gian server hoàn chỉnh,Chung,Nhận thời gian server hoàn chỉnh
10047,Chuyển đổi timestamp thành thời gian hoàn chỉnh,Chung,Chuyển đổi timestamp |@1| thành thời gian hoàn chỉnh
20001,Tính Toán Đại Số,Toán học,@1||@2||@3
20002,Phần Còn Lại,Toán học,@1| Mod |@2
20003,Số Ngẫu Nhiên,Toán học,Generate random number between |@1| and |@2
20004,Giá Trị Tối Đa,Toán học,@1| and |@2|'s |@3
20005,Chia Hết,Toán học,@1| is divisible by |@2|with remainder 0
20006,Cân đối Giá Trị của Vị Trí,Toán học,@1|'s |@2| coordinate value
20007,Góc Ngang giữa các Vị Trí,Toán học,Horizontal Angle Between |@1| and |@2
20008,Góc Dọc giữa các Vị Trí,Toán học,Vertical Angle Between |@1| and |@2
20009,Lũy Thừa,Toán học,"@1|, to the power of |@2"
20010,Rooting,Toán học,The |@2|-th root of |@1
20011,Giá Trị Tuyệt Đối,Toán học,@1|'s absolute value
20012,Hàm Lượng Giác,Toán học,@1||@2||@3
20013,Fixed Base Log Function,Toán học,@1||@2
20014,Any Base Log Function,Toán học,Log|@1||@2
20015,Làm Tròn,Toán học,"The round number of |@1|, in form of |@2"
20016,Chuyển Đổi Góc sang Độ,Toán học,Convert |@1| to |@2
20017,.và.,Toán học,@1| and |@2
20018,.hoặc.,Toán học,@1| or |@2
20019,duy nhất hoặc,Toán học,@1| exclusive or |@2
20020,.không.,Toán học,Not |@1
20021,So sánh giá trị ngẫu nhiên,Toán học,@1||@2||@3
30001,Thời gian hiện tại trong game,Game,Current game time
30002,Chọn Đội Xếp Hạng,Game,The team ranked |@1
30003,Bội số hiện tại,Game,Bội số hiện tại
40001,Đặc Tính Nhóm,Team,@1|'s |@2
40002,So Sánh Nhóm,Team,@1||@2||@3
50001,Vị Trí Người Chơi,Người chơi,@1|'s location
50002,Nhận Vị Trí Người Chơi,Người chơi,@1|'s Sight
50003,Đặc Tính Người Chơi,Người chơi,@1|'s |@2
50004,Số lượng vật phẩm sở hữu,Người chơi,@1|Số lượng sở hữu|@2
