ID,Name,ChildName,Desc,Remarks
ID,Name,ChildName,Desc,Remarks
1010001,Khi thời tiết thay đổi,Thế giới,Bất kỳ thay đổi về thời tiết,Thời tiết chuyển từ nắng sang mưa，và mưa chuyển sang nắng.
1010002,Khi thay đổi thời tiết của nhóm địa hình,Thế giới,Khi thời tiết của |@1| chỉ định thay đổi,"Nhóm Thường: Đồng Bằng/Rừng/Vách Đá/Rừng Rậm/Lưu Vực/Đảo Hoang/Sông; Nhóm Biển: Bãi Biển/Biển Sâu/Biển Nông/Đảo; Nhóm Sa Mạc: Sa Mạc/Ốc Đảo; Hàn đới thường: Rừng Lá Kim/Cánh Đồng Băng; Hàn đới núi cao: Núi Băng; Nhóm Núi Lửa: Núi Lửa; Nhóm Đất Ngập Nước: Rừng Mưa/Đầm Lầy; Bằng Phẳng, Đảo Hoang"
1020001,Khi tạo game,Logic Game,Được kích hoạt khi game được tạo,Khi vào trò chơi đếm ngược 3，2，1，bắt đầu trò chơi
1020002,Thời gian trong game,Logic Game,Thời gian trong game lúc |@1|,Khi trò chơi ở điểm thời gian được chỉ định
1020003,Thời gian vận hành game,Logic Game,Game bắt đầu sau |@1| giây,Sau khi vào trò chơi，chạy thời gian quy định
1020004,Thắng,Logic Game,Được kích hoạt khi Bất Kỳ người chơi nào thắng,@Null@
1020005,Thua,Logic Game,Được kích hoạt khi Bất Kỳ người chơi nào thua,@Null@
1020007,Người chơi đăng nhập vào game,Logic Game,Khi bất kỳ người chơi nào vào game,@Null@
1020008,Người chơi thoát khỏi game,Logic Game,Khi bất kỳ người chơi nào thoát game,@Null@
1020009,Thay đổi thời gian,Logic Game,Khi có thay đổi về thời gian,Bất kỳ giá trị bộ đếm nào trong thư viện biến số thay đổi
1020010,Thời gian chỉ định thay đổi,Logic Game,Khi |@1| phát sinh thay đổi,Khi biến bộ đếm thời gian được chỉ định thay đổi trong thư viện biến thay đổi
1020011,Trong suốt thời gian chạy trò chơi (vòng lặp),Logic Game,Thời gian chơi của trò chơi là |@1| giây,"1. Giá trị nhỏ nhất là 0，05 giây，0，01-0，09 sẽ lấy 0，05 
2. Trò chơi sẽ kích hoạt (vòng lặp) mỗi khi trò chơi được chỉ định."
1020012,Khi msp nhận được thông tin,Logic Game,Khi bản đồ nhận được bất kỳ thông tin dạng chuỗi nào,@Null@
1030001,Chết,Người chơi,Bất Kỳ người chơi nào bị tấn công,@Null@
1030002,Hồi sinh,Người chơi,Được kích hoạt khi Bất Kỳ người chơi nào hồi sinh,@Null@
1030003,Thay đổi thuộc tính,Người chơi,Bất kỳ sự thay đổi nào của người chơi |@1|,Khi người chơi thuộc tính，nếu lượng máu thay đổi
1030004,Đánh bại mục tiêu,Người chơi,Bất kỳ người chơi nào đánh bại người chơi hoặc sinh vật khác,Khi người chơi đánh bại những người chơi khác，đó là sinh học. Đánh bại người chơi，sinh vật cho người chơi mục tiêu，sinh vật
1030005,Tấn công,Người chơi,Khi bất kỳ người chơi nào tấn công,@Null@
1030006,Tấn công mục tiêu,Người chơi,Bất kỳ người chơi nào đánh bại người chơi khác hoặc sinh vật,Khi người chơi tấn công những người chơi khác，sinh vật. Người chơi，sinh vật，người chơi mục tiêu，sinh học
1030007,Gây thiệt hại,Người chơi,Bất kỳ người chơi nào gây thương tích cho người chơi khác，sinh vật hoặc khối,Khi người chơi làm tổn thương những người chơi khác，các sinh vật cũng bị thương. Người chơi bị thương，người chơi sinh vật，sinh vật trong sự kiện
1030008,Bị thương,Người chơi,Bất kỳ người chơi nào bị thương,@Null@
1030009,Di chuyển,Người chơi,Bất kỳ người chơi nào dịch chuyển 1 khối,@Null@
1030010,Sử dụng biểu cảm và hành động,Người chơi,Bất kỳ người chơi nào sử dụng biểu tượng cảm xúc,@Null@
1030011,Sử dụng công cụ,Người chơi,Bất kỳ người chơi nào sử dụng vật phẩm nào đó,@Null@
1030012,Nhận được công cụ,Người chơi,Bất kỳ người chơi nào mang vật phẩm nào đó,@Null@
1030013,Tổn hao công cụ,Người chơi,Bất kỳ người chơi nào dùng hết vật phẩm nào đó,@Null@
1030014,Click vào sinh vật,Người chơi,Bất kỳ người chơi nào click vào sinh vật nào đó,@Null@
1030015,Click vào khối,Người chơi,Bất kỳ người chơi nào sử dụng khối nào đó,@Null@
1030016,Cưỡi,Người chơi,Bất kỳ người chơi nào sử dụng thú cưỡi hoặc xe,@Null@
1030017,Hủy cưỡi,Người chơi,Bất kỳ người chơi nào xuống thú cưỡi hoặc xe,@Null@
1030018,Đổi trạng thái hoạt động,Người chơi,Bất kỳ người chơi nào vào tình trạng |@1|,@Null@
1030019,Va chạm,Người chơi,Kích hoạt khi bất kỳ người chơi nào chiến đấu,@Null@
1030020,Nhặt vật phẩm,Người chơi,Bất kỳ người chơi nào nhặt vật phẩm rơi,@Null@
1030021,Người chơi vào khu vực,Người chơi,Khi bất kỳ người chơi nào vào|@1|,@Null@
1030022,Rời khỏi khu vực,Người chơi,Khi bất kỳ người chơi nào thoát|@1|,@Null@
1030023,Đổi áo giáp,Người chơi,Bất kỳ người chơi nào thay đổi áo giáp,@Null@
1030024,Đổi công cụ trong túi,Người chơi,Bất kỳ người chơi nào thay đổi trong túi,@Null@
1030025,Đổi thanh phím tắt,Người chơi,Bất kỳ sự thay đổi của thanh công cụ,@Null@
1030026,Chọn thanh phím tắt,Người chơi,Ngẫu nhiên người chơi chọn bất kỳ vị trí nào trên thanh phím tắt,@Null@
1030027,Vứt bỏ vật phẩm,Người chơi,Bất kỳ người chơi nào vứt bỏ vật phẩm,@Null@
1030028,Mặc áo giáp,Người chơi,Bất kỳ người chơi nào mặc áo giáp,@Null@
1030029,Cởi áo giáp,Người chơi,Bất kỳ người chơi nào cởi áo giáp,@Null@
1030030,Hiển thị chuỗi ký tự trong khung Chat,Người chơi,Khung Chat hiển thị|@1|,@Null@
1030031,Nhập chuỗi ký tự,Người chơi,Bất kỳ người chơi nào từ khung chat nhập vào|@1|,@Null@
1030032,Nhấp chuột,Người chơi,Bất kỳ người chơi nào nhấp chuột |@1|,@Null@
1030033,Nhấp chuột dài,Người chơi,Bất kỳ người chơi nào nhấp dài|@1|,@Null@
1030034,Nhả chuột,Người chơi,Bất kỳ người chơi nào nhả chuột |@1|,@Null@
1030035,Nhận được hiệu ứng trạng thái,Người chơi,Người chơi bất kỳ nhận được hiệu ứng trạng thái,@Null@
1030036,Mất đi hiệu ứng trạng thái,Người chơi,Người chơi bất kỳ mất đi hiệu ứng trạng thái,@Null@
1030037,Mất đi hiệu ứng trạng thái chỉ định,Người chơi,Người chơi bất kỳ mất đi|@1|,@Null@
1030038,Level thay đổi,Người chơi,Khi bất kỳ Level của người chơi nào thay đổi,@Null@
1030039,Người chơi nhập thông tin trò chuyện (bao gồm cả chuỗi),Người chơi,Bất kỳ người chơi nào nhập từ hộp trò chuyện với |@1|,Khi người chơi vào hộp trò chuyện và khi nó xảy ra
1040001,Bị thương,Sinh vật,Khi bất kỳ sinh vật nào đang bị tấn công,@Null@
1040002,Tấn công,Sinh vật,Khi bất kỳ sinh vật nào đang tấn công,@Null@
1040003,Tấn công mục tiêu,Sinh vật,Khi bất kỳ sinh vật nào va phải người chơi hoặc sinh vật khác,@Null@
1040004,Nguyên nhân bị thương,Sinh vật,Khi bất kỳ sinh vật nào gây hại cho người chơi hoặc sinh vật khác,@Null@
