鍞涓绱㈠紩ID,璇瑷鐮(灏忓啓),璇瑷鍚,鏄鍚﹀彲閫,瀛椾綋,"PC璇瑷鐮(CID,10杩涘埗)","鏀鎸佽瑷鏍囪瘑鍒楄〃(浠,闂撮殧)",璇存槑(浠呴槄璇)
ID,Code,Name,Optional,Font,CID,Flags,Desc
0,cn,绠浣撲腑鏂 ,0,,-1,"zh_cn,zh-cn,zh-Hans",绠浣撲腑鏂
1,en,English,1,,9,en,鑻辫
2,tw,绻佷綋涓鏂 ,1,,31748,"zh_tw,zh_mo,zh-Hant,zh-HK,zh-TW,zh_MO,zh-mo,zh,zh_cn,zh-cn,zh-Hans",绻佷綋涓鏂
3,tha,喔犩覆喔┼覆喙勦笚喔 ,1,,30,th,娉版枃
4,esn,Espa帽ol ,1,,10,es,瑗跨彮鐗
5,ptb,Portugu锚s ,1,,22,pt,宸磋タ钁¤悇鐗
6,fra,Fran莽ais ,1,,12,fr,娉曟枃
7,jpn,鏃ユ湰璇 ,1,,17,ja,鏃ユ枃
8,ara,丕賱毓乇亘賷丞,1,,1 ,"ar,ar_EG",闃挎媺浼鏂
9,kor,頃滉淡鞏 ,1,,18,ko,闊╄
10,vie,Ti岷縩g Vi峄噒 ,1,,42,"vi,vi_VN",瓒婂崡
11,rus,褉褍褋褋泻懈泄 ,1,,25,"ru,ru_RU",淇勮
12,tur,T眉rk莽e ,1,,31,"tr,tr_TR",鍦熻冲叾
13,ita,Italiano ,1,,16,"it,it_CH",鎰忓ぇ鍒
14,ger,Deutsch ,1,,7,"de,de_AT",寰疯
15,ind,Indonesia ,1,,33,"in,id,hi_IN",鍗板凹璇
16,msa,Malaysia ,1,,62,"ms,msa,may",椹鏉ヨ
